GroupBase,OriginalFilename,Singapore____0,Singapore____1,Singapore____2,HongKong____0,HongKong____1,HongKong____2,Munich____0,Munich____1,Munich____2,Stockholm____0,Stockholm____1,Stockholm____2,Chicago____0,Chicago____1,Chicago____2,Orlando____0,Orlando____1,Orlando____2,Kinshasa____0,Kinshasa____1,Kinshasa____2,SaoPaulo____0,SaoPaulo____1,SaoPaulo____2,Mexico____0,Mexico____1,Mexico____2,Kigali____0,Kigali____1,Kigali____2
40_12_r0_d2,40_12_r0_d2_cv.jpgStockholm._gt.png,0.3842741704124055,0.3806846147943252,0.3239991589059646,0.5220171966533308,0.3636548853891527,0.34923555010175095,0.47126894487987375,0.39090057382942905,0.3507289591391927,0.18763521620252321,0.26033782068883377,0.16766638546722878,0.4462949596137587,0.6855628819650046,0.4565545656469785,0.20776203570240795,0.13330774284705058,0.17219986427269668,0.09193551736084328,0.0921349527640781,0.09457442626106899,0.5828265385811683,0.516544573756637,0.47735271391145945,0.5695368917472042,0.30165627155892616,0.4181424380951721,0.0959799563758579,0.0964879908296025,0.08504408390105891
39_40_r1_d0,39_40_r1_d0_cv.jpgSingapore._gt.png,0.3166907623072857,0.33998641534277246,0.2719498917183728,0.5074652481844878,0.34700853434949297,0.2728968704234153,0.4275757437029979,0.44726179271795263,0.5549673460127342,0.24836833023563304,0.31288266403756504,0.22915686411265596,0.8460883741230864,1.1280747336412678,0.6378600367969429,0.27623136188266834,0.29124700817665145,0.21482013954099421,0.13102527006123818,0.14049530140662864,0.12503430559785375,0.7449940060393601,0.6820572558598069,0.7040693553642814,0.41370660307237084,0.49381747470447224,0.41594463807656756,0.1490366751842189,0.1331407118324355,0.12206719415760107
21_39_r0_d0,21_39_r0_d0_cv.jpgMexico._gt.png,1.0748842213327008,0.724435372532891,0.7980253587482002,2.2101268977162833,1.1061610313604615,1.0146000128987362,3.432198613083805,3.5316094329995686,4.612205593838822,0.5341831916730444,0.6538428536666033,0.7384443884065695,2.5748208003321778,2.6008565918992974,0.32535774233501613,0.5823507048754837,0.31681588197395105,0.16106803274575304,0.12057933596666226,0.13665816850764123,0.10957971516488783,0.8515729844663656,0.7343944438456456,0.8772176230714395,0.3452974684958863,0.3190725711230916,2.1119428160617755,0.24741202781251376,0.26756690069238176,0.2954738107507983
25_39_r0_d1,25_39_r0_d1_cv.jpgKinshasa._gt.png,0.6403271952994837,0.550316056248208,0.5549791854130198,0.5591635795154652,0.5072747073570681,0.425828822411655,4.45971389021317,4.138818393595866,3.4745568534045015,0.7097096614117036,0.6168190556658228,0.8134643546846201,3.343525738702854,4.124515269587981,1.745428494930442,0.3167281560958945,0.4930520685408992,0.22753827935533263,0.13790220505731599,0.13115717997991475,0.11115167070220763,0.6480337224624818,0.7172670857434278,0.8804948349515617,0.32920018441680804,0.2887312156946609,1.9321623253966973,0.22859357706625177,0.17827679736986465,0.213654175480091
24_54_r1_d1,24_54_r1_d1_cv.jpgHongKong._gt.png,0.25555609737169743,0.29667998732675005,0.24897446559745368,0.8464315103784429,0.7278755864842952,0.3642862285791739,0.4533078808752798,0.3305645731184777,0.31101781703402503,0.2623237691559152,0.3331891304756318,0.4128734150694145,0.42047155980410755,0.4885028133413762,0.2842053937807159,0.21560407254875008,0.2200519301209906,0.12235617741271836,0.08512078697149991,0.09249290132416173,0.0946293963908638,0.5272485889683194,0.496798348978391,0.4502582409337847,0.42033514764337404,0.38808610068520283,0.4698527448315108,0.10327833320044738,0.11245323770502046,0.0861794240059462
20_17_r1_d0,20_17_r1_d0_cv.jpgMunich._gt.png,0.4488942880600116,0.32030167213771893,0.2817860474995705,0.7720049265085527,0.6882823026498863,0.2986829047656097,0.2989565054194227,0.2901027323386834,0.4838130551360423,0.17604728868482197,0.21638177509782236,0.1871265197121561,0.4441030412091095,0.6340687954864116,0.5797314064364782,0.22976418609801566,0.18513850376895516,0.15735884051331822,0.1176627896014993,0.11321690990567504,0.11648830868115147,0.6816600589437658,0.5797149260432889,0.6083051419780713,0.453264045678503,0.4652127985178258,0.48468945760858695,0.11852273156978572,0.12557538572052043,0.10138953654120042
39_15_r2_d1,39_15_r2_d1_cv.jpgKigali._gt.png,0.3297586808293181,0.32355141886553246,0.3217310480530123,0.6860230317084124,0.5850802768160002,0.2914735699028688,0.360862800784198,0.3471664333897061,0.6799023924402254,0.20724064052666108,0.2631363608940892,0.21877031691257343,0.7633999306810729,0.7839432516976703,0.7554158368194931,0.3863826388075322,0.3163685981888966,0.18853412754261717,0.09637208744237477,0.1058283103446256,0.13042371590177754,0.7195315790743443,0.6250449977405588,0.6033397111306331,0.3704178846905852,0.35204423003309787,0.31955291131811464,0.12097741437382684,0.12748418519912366,0.11031921925920551
17_26_r0_d0,17_26_r0_d0_cv.jpgKinshasa._gt.png,0.3319880070203835,0.4167873776917586,0.2603986672419287,0.5290006008195214,0.6055626222802203,0.39865283307555366,1.996726198569726,4.2871140912170524,1.0427002712509421,0.644673390862241,0.5326532194610918,0.6085296695493744,2.195831511526543,2.3337977716642198,0.706256512311993,0.1762682777946584,0.19696460223785744,0.19500915910326147,0.08764853906926533,0.09152037076969054,0.09558582954423855,0.4918763755275104,0.5281116728342385,0.5460186382002794,0.9072830035845327,0.8387596234357662,0.9693258126641741,0.07658771556719375,0.05917376992116533,0.0702494128756116
49_74_r0_d1,49_74_r0_d1_cv.jpgChicago._gt.png,0.7662615400733485,0.7290809616013431,0.5146991176847805,0.7919578219379182,0.8842747157293488,0.6911931110744772,1.2270912661347246,0.7509701472066663,0.7407604175283777,0.29547525860084717,0.2267017495465843,0.25300047755816196,1.3067271937911282,1.470931469638017,1.0095169941334752,0.23845707253098952,0.23125375187380268,0.15260413991688257,0.14309442998648592,0.14157031746469148,0.12299731846550094,0.4852851445599881,0.4862245396662256,0.3911281717846068,0.3733226930255623,0.428762025570948,0.4206885458896577,0.08386819005261896,0.06675711852284939,0.09381755135269304
25_31_r0_d1,25_31_r0_d1_cv.jpgKigali._gt.png,0.7612654838345916,0.6270290270561382,0.9975609295972099,0.5874870326037508,0.6720770611651278,0.8183758740190388,5.08802005680406,4.2002834374553055,4.572529180277023,0.6061853779256926,0.6690786399335484,0.6425079947752383,3.2132409160891546,1.9117872017782356,2.161007687266974,0.29911317177395175,0.5704203362906264,0.1787173909928415,0.1280009837429086,0.09512844036634328,0.09626094868427094,0.595071234992407,0.6588457860169438,0.5535612086159308,1.1156155510635999,1.3643411177671514,0.8969131938564424,0.13657662204549978,0.09045138609469404,0.11157870905491109
