base,city,img1_L2,img2_L2,img3_L2,mean_L2,max_L2,up25per_L2,img1_PSNR,img2_PSNR,img3_PSNR,mean_PSNR,max_PSNR,up25per_PSNR,img1_SSIM,img2_SSIM,img3_SSIM,mean_SSIM,max_SSIM,up25per_SSIM,img1_LPIPS,img2_LPIPS,img3_LPIPS,mean_LPIPS,max_LPIPS,up25per_LPIPS
25_31_r0_d1,Kigali,99.53626251,102.3498154,100.2919998,100.7260259,102.3498154,101.3209076,11.81654549,11.57443047,11.75084591,11.71394062,11.81654549,11.7836957,0.064471245,0.065542445,0.05633238,0.062115356,0.065542445,0.065006845,0.471835762,0.467861503,0.477891088,0.472529451,0.477891088,0.474863425
41_67_r0_d1,SaoPaulo,143.934494,149.7806244,153.7775116,149.16421,153.7775116,151.779068,8.612874985,8.26706028,8.038315773,8.306083679,8.612874985,8.439967632,0.026980016,0.024770701,0.024510808,0.025420509,0.026980016,0.025875359,0.497944593,0.51995331,0.51852262,0.512140175,0.51995331,0.519237965
45_42_r0_d1,Kinshasa,97.06718445,93.06903076,92.69695282,94.27772268,97.06718445,95.0681076,12.03472328,12.40006828,12.43486309,12.28988489,12.43486309,12.41746569,0.047331687,0.088143528,0.094846807,0.076774007,0.094846807,0.091495167,0.43214637,0.433774889,0.43426466,0.433395306,0.43426466,0.434019774
30_38_r1_d0,Singapore,88.00598907,89.62961578,109.1531296,95.59624481,109.1531296,99.39137268,12.57382584,12.65874863,11.01544857,12.08267434,12.65874863,12.61628723,0.364913225,0.281203091,0.222150996,0.289422438,0.364913225,0.323058158,0.50449717,0.576099038,0.612344742,0.56431365,0.612344742,0.59422189
14_42_r0_d2,Munich,101.1122513,103.2806244,99.06192017,101.1515986,103.2806244,102.1964378,11.68009663,11.46166611,11.58117294,11.57431189,11.68009663,11.63063478,0.194911778,0.186167911,0.208075419,0.196385036,0.208075419,0.201493599,0.604647279,0.576021671,0.514961839,0.565210263,0.604647279,0.590334475
20_38_r1_d0,Stockholm,109.4480057,115.2202911,115.9843674,113.5508881,115.9843674,115.6023293,10.95788574,10.54559326,10.48818302,10.66388734,10.95788574,10.7517395,0.080571778,0.075397566,0.077760287,0.077909877,0.080571778,0.079166032,0.459493876,0.423312753,0.452159613,0.444988747,0.459493876,0.455826744
61_52_r0_d1,Mexico,130.7362671,129.1854553,122.7460861,127.5559362,130.7362671,129.9608612,9.448250771,9.55189991,9.996019363,9.665390015,9.996019363,9.773959637,0.038077362,0.035998065,0.040762119,0.038279182,0.040762119,0.03941974,0.404660881,0.427538663,0.416988254,0.416395932,0.427538663,0.422263458
67_36_r0_d0,Orlando,105.218895,108.336998,139.0703125,117.5420685,139.0703125,123.7036552,11.19696903,10.94330692,8.739480019,10.29325199,11.19696903,11.07013798,0.069369905,0.083323576,0.075257763,0.075983748,0.083323576,0.079290669,0.444164097,0.467509657,0.531589925,0.481087893,0.531589925,0.499549791
65_67_r0_d1,Chicago,140.0606689,140.4698486,146.7195129,142.4166768,146.7195129,143.5946808,8.849848747,8.790380478,8.446414948,8.695548058,8.849848747,8.820114613,0.054314047,0.05710179,0.074062735,0.061826191,0.074062735,0.065582262,0.411088169,0.438679904,0.461254001,0.437007358,0.461254001,0.449966952
4_36_r0_d1,SaoPaulo,131.1272278,139.966568,141.5580902,137.5506287,141.5580902,140.7623291,9.422314644,8.855685234,8.757478714,9.011826197,9.422314644,9.138999939,0.033624716,0.025313472,0.033069752,0.030669314,0.033624716,0.033347234,0.473671347,0.511087894,0.482261091,0.489006778,0.511087894,0.496674493
8_48_r0_d1,Chicago,120.7467194,125.5586548,118.8645096,121.7232946,125.5586548,123.1526871,9.93184948,9.592423439,10.10312557,9.875799497,10.10312557,10.01748753,0.037198741,0.024486817,0.032954857,0.031546805,0.037198741,0.035076799,0.429514468,0.436481535,0.411811799,0.425935934,0.436481535,0.432998002
10_38_r2_d1,HongKong,136.9055176,134.7677765,137.2140961,136.2957967,137.2140961,137.0598068,9.047753334,9.184451103,9.028198242,9.086800893,9.184451103,9.116102219,0.036428012,0.043371253,0.040477388,0.040092217,0.043371253,0.04192432,0.476957262,0.499229401,0.519576609,0.498587757,0.519576609,0.509403005
65_34_r0_d0,Chicago,125.7640839,118.9644394,120.6171799,121.781901,125.7640839,123.1906319,9.716647148,10.1650362,10.11385918,9.998514175,10.1650362,10.13944769,0.01111081,0.05008211,0.011709264,0.024300728,0.05008211,0.030895687,0.41899851,0.421072572,0.385882139,0.408651074,0.421072572,0.420035541
37_18_r1_d0,HongKong,82.5712738,80.38452911,84.05963898,82.33848063,84.05963898,83.31545639,13.40546322,13.67272377,13.25029278,13.44282659,13.67272377,13.53909349,0.171503022,0.203592852,0.231417984,0.202171286,0.231417984,0.217505418,0.677891493,0.65722084,0.625583887,0.653565407,0.677891493,0.667556167
31_94_r0_d0,Singapore,134.6906128,137.5423584,124.6607132,132.2978948,137.5423584,136.1164856,9.189426422,9.007442474,9.861579895,9.352816264,9.861579895,9.525503159,0.056557618,0.032715533,0.058181476,0.049151542,0.058181476,0.057369547,0.49194169,0.460960746,0.509557426,0.487486621,0.509557426,0.500749558
