base,city,img1_2SSIM,img1_2MS_SSIM,img1_2LPIPS,img2_3SSIM,img2_3MS_SSIM,img2_3LPIPS,img1_3SSIM,img1_3MS_SSIM,img1_3LPIPS,mean_SSIM,mean_MS_SSIM,mean_LPIPS
31_51_r0_d1,Chicago,0.036180756986141205,0.036886509507894516,0.46421724557876587,0.06439874321222305,0.0,0.49215999245643616,0.06174736097455025,0.00866316445171833,0.49458205699920654,0.05410895372430483,0.015183224653204283,0.48365309834480286
63_65_r1_d0,Orlando,0.23541194200515747,0.23170238733291626,0.4441491365432739,0.21415233612060547,0.16400393843650818,0.47952955961227417,0.20475773513317108,0.17226047813892365,0.4408506751060486,0.218107337752978,0.18932226796944937,0.45484312375386554
26_41_r1_d1,Kigali,0.26090142130851746,0.18288910388946533,0.4419928193092346,0.26121652126312256,0.11320172995328903,0.42682701349258423,0.2741883397102356,0.14502781629562378,0.4200367331504822,0.26543542742729187,0.14703955004612604,0.42961885531743366
14_27_r0_d1,Kinshasa,0.20209428668022156,0.0,0.42288607358932495,0.22812527418136597,0.03815671429038048,0.4354245662689209,0.1913185864686966,0.10057505965232849,0.43732234835624695,0.20717938244342804,0.046243924647569656,0.43187766273816425
8_25_r0_d0,Mexico,0.09893634915351868,0.18178899586200714,0.2995779812335968,0.09051654487848282,0.09652716666460037,0.3568338453769684,0.0939352735877037,0.14943094551563263,0.32518625259399414,0.09446272253990173,0.1425823693474134,0.3271993597348531
64_17_r0_d0,Orlando,0.193609818816185,0.1528499722480774,0.5115413665771484,0.1611921638250351,0.10838514566421509,0.5702608227729797,0.1648326814174652,0.15884028375148773,0.533659815788269,0.17321155468622842,0.14002513388792673,0.5384873350461324
27_66_r0_d1,SaoPaulo,0.03339188173413277,0.0,0.3881297707557678,0.03032788820564747,0.024845192208886147,0.39728841185569763,0.030219435691833496,0.03445254638791084,0.3664681017398834,0.031313068543871246,0.019765912865598995,0.38396209478378296
81_27_r0_d1,Mexico,0.0584796741604805,0.06345134228467941,0.34987229108810425,0.06559024006128311,0.13283208012580872,0.3103998899459839,0.09850417822599411,0.07466849684715271,0.32226255536079407,0.07419136414925258,0.09031730641921361,0.32751157879829407
86_53_r0_d1,Mexico,0.07306788861751556,0.15452294051647186,0.2880975902080536,0.06622446328401566,0.08154857158660889,0.34565576910972595,0.0817243903875351,0.13052397966384888,0.30826377868652344,0.07367224742968877,0.1221984972556432,0.314005712668101
47_19_r0_d0,Mexico,0.10971944034099579,0.21915602684020996,0.3087351620197296,0.10506986081600189,0.06781729310750961,0.3542858064174652,0.0923207700252533,0.12791727483272552,0.3475848436355591,0.10237002372741699,0.13829686492681503,0.3368686040242513
64_48_r0_d0,Mexico,0.04183582961559296,0.01379837840795517,0.3206750750541687,0.05110189691185951,0.0036698300391435623,0.3212383985519409,0.057756852358579636,0.09441301971673965,0.32646802067756653,0.05023152629534403,0.037293742721279464,0.32279383142789203
40_31_r1_d2,Stockholm,0.06696484237909317,0.061744559556245804,0.35668885707855225,0.05846652388572693,0.04906285181641579,0.39903029799461365,0.07259126007556915,0.05072528123855591,0.3963748514652252,0.06600754211346309,0.05384423087040583,0.38403133551279706
10_23_r1_d0,Munich,0.2051222175359726,0.20846445858478546,0.45987898111343384,0.1283448338508606,0.08582458645105362,0.553342342376709,0.08835259079933167,0.0,0.5343406796455383,0.14060654739538828,0.0980963483452797,0.515854001045227
22_41_r0_d1,Kinshasa,0.0998387485742569,0.09152906388044357,0.24889478087425232,0.10105571895837784,0.06727137416601181,0.24563491344451904,0.10837633907794952,0.05289219692349434,0.24384281039237976,0.10309026887019475,0.0705642116566499,0.24612416823705038
22_50_r1_d1,Stockholm,0.2353626936674118,0.1297418624162674,0.47830721735954285,0.1818760633468628,0.0,0.5376271605491638,0.22436247766017914,0.09510312229394913,0.5405169129371643,0.2138670782248179,0.07494832823673885,0.5188170969486237
6_22_r0_d1,Kigali,0.19499757885932922,0.11189383268356323,0.4303476810455322,0.21461020410060883,0.12979650497436523,0.4074059724807739,0.18521970510482788,0.10238150507211685,0.39708179235458374,0.19827582935492197,0.11469061424334843,0.41161181529362995
43_24_r0_d0,Stockholm,0.10198189318180084,0.10354283452033997,0.3480682075023651,0.09345050156116486,0.0,0.42302271723747253,0.07442241162061691,0.03199369087815285,0.41880670189857483,0.0899516021211942,0.045178841799497604,0.39663254221280414
21_15_r0_d1,Kigali,0.07564383745193481,0.0500112883746624,0.3919646143913269,0.08834168314933777,0.09248963743448257,0.3573918044567108,0.0969601571559906,0.08737572282552719,0.3718854784965515,0.0869818925857544,0.07662554954489072,0.3737472991148631
19_26_r1_d1,Kigali,0.10054118186235428,0.14029483497142792,0.3279421329498291,0.11556786298751831,0.21450628340244293,0.33914440870285034,0.06689772009849548,0.09600194543600082,0.35752132534980774,0.0943355883161227,0.1502676879366239,0.3415359556674957
53_71_r0_d0,SaoPaulo,0.02345701865851879,0.022324426099658012,0.3828345537185669,0.03671790286898613,0.04226670041680336,0.40262851119041443,0.02162252552807331,0.045791443437337875,0.33847999572753906,0.027265815685192745,0.03679418998459975,0.37464768687884015
94_46_r0_d1,Orlando,0.7984598278999329,0.8166636824607849,0.13373468816280365,0.527649462223053,0.6853073239326477,0.3726385831832886,0.5113808512687683,0.7116764187812805,0.39176145195961,0.6124967137972513,0.7378824750582377,0.29937824110190075
29_75_r1_d1,Singapore,0.030785320326685905,0.06247474625706673,0.43372106552124023,0.023778552189469337,0.04519927501678467,0.4431104063987732,0.005917345639318228,0.0,0.4379424750804901,0.02016040605182449,0.035891340424617134,0.43825798233350116
11_73_r0_d0,Mexico,0.02803897298872471,0.06502560526132584,0.3438044488430023,0.06805022805929184,0.12148737907409668,0.34071269631385803,0.05953865870833397,0.08079450577497482,0.3429306745529175,0.05187595325211684,0.08910249670346577,0.34248260656992596
40_12_r0_d2,Stockholm,0.14476828277111053,0.12113354355096817,0.46704405546188354,0.14611777663230896,0.0,0.47476842999458313,0.1818753182888031,0.16140390932559967,0.42899835109710693,0.15758712589740753,0.09417915095885594,0.45693694551785785
48_21_r1_d0,Orlando,0.29115554690361023,0.2792756259441376,0.46272316575050354,0.2379712015390396,0.24118898808956146,0.45582762360572815,0.29621633887290955,0.35928380489349365,0.5013408064842224,0.2751143624385198,0.2932494729757309,0.4732971986134847
20_26_r1_d0,Singapore,0.04712825268507004,0.09579571336507797,0.4485088586807251,0.06942789256572723,0.11427772045135498,0.4693659245967865,0.056826401501894,0.1009473204612732,0.5025250315666199,0.05779418225089709,0.10367358475923538,0.4734666049480438
